name,state,district,source,latitude,longitude,geocode_quality
North Paravur APMC,Kerala,Ernakulam,derived_from_market_records,9.93988,76.26022,PPL
SMY Nalagarh,Himachal Pradesh,Solan,derived_from_market_records,30.90908,77.10869,PPL
SMY Nadaun,Himachal Pradesh,Hamirpur,derived_from_market_records,25.9553,80.14842,PPL
Jaleswar APMC,Odisha,Balasore,derived_from_market_records,21.49266,86.93348,PPL
SMY Baijnath,Himachal Pradesh,Kangra,derived_from_market_records,32.09135,76.26267,PPL
SMY Jaisinghpur,Himachal Pradesh,Kangra,derived_from_market_records,32.09135,76.26267,PPL
SMY Nagrota Bagwan,Himachal Pradesh,Kangra,derived_from_market_records,32.09135,76.26267,PPL
Anandnagar APMC,Uttar Pradesh,Maharajganj,derived_from_market_records,26.25914,83.11643,PPL
Siliguri APMC,West Bengal,Darjeeling,derived_from_market_records,27.03333,88.26667,PPL
Taliparamba APMC,Kerala,Kannur,derived_from_market_records,11.86752,75.35763,PPL
Garh Shankar(Mahalpur) APMC,Punjab,Hoshiarpur,derived_from_market_records,31.53723,75.91269,PPLA2
Quilandy APMC,Kerala,Kozhikode(Calicut),derived_from_market_records,,,
Tarantaran APMC,Punjab,Tarntaran,derived_from_market_records,,,
Gobichettipalayam(Uzhavar Sandhai ) APMC,Tamil Nadu,Erode,derived_from_market_records,11.3428,77.72741,PPL
Sathiyamagalam(Uzhavar Sandhai ) APMC,Tamil Nadu,Erode,derived_from_market_records,11.3428,77.72741,PPL
SMY Rohroo,Himachal Pradesh,Shimla,derived_from_market_records,31.10442,77.16662,PPLA
SMY Santoshgarh,Himachal Pradesh,Una,derived_from_market_records,40.2241,-1.97788,PPLA3
Mehatpur APMC,Punjab,Jalandhar,derived_from_market_records,31.32556,75.57917,PPL
Jasvantnagar APMC,Uttar Pradesh,Etawah,derived_from_market_records,26.77615,79.02133,PPL
Diglipur APMC,Andaman and Nicobar,North and Middle Andaman,derived_from_market_records,,,
Tiruchengode APMC,Tamil Nadu,Namakkal,derived_from_market_records,11.22126,78.16524,PPL
Bhulath (Nadala) APMC,Punjab,Kapurthala,derived_from_market_records,31.38011,75.38105,PPL
Thuraiyur APMC,Tamil Nadu,Thiruchirappalli,derived_from_market_records,,,
Ariyalur(Uzhavar Sandhai) APMC,Tamil Nadu,Ariyalur,derived_from_market_records,11.13849,79.07556,PPL
Singanallur(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Banki APMC,Odisha,Cuttack,derived_from_market_records,20.46497,85.87927,PPL
PMY Kangra,Himachal Pradesh,Kangra,derived_from_market_records,32.09135,76.26267,PPL
Narnaul APMC,Haryana,Mahendragarh-Narnaul,derived_from_market_records,,,
Lalganj APMC,Uttar Pradesh,Raebarelli,derived_from_market_records,,,
Hasanpur APMC,Uttar Pradesh,Amroha,derived_from_market_records,28.90314,78.46984,PPL
Barwala APMC,Haryana,Panchkula,derived_from_market_records,30.69461,76.8504,PPLA2
Pollachi(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Nabha APMC,Punjab,Patiala,derived_from_market_records,30.33625,76.3922,PPL
Jalalabad APMC,Uttar Pradesh,Shahjahanpur,derived_from_market_records,27.88165,79.90918,PPL
Kairana APMC,Uttar Pradesh,Shamli,derived_from_market_records,29.4497,77.30959,PPLA2
Mettupalayam(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Maigalganj APMC,Uttar Pradesh,Khiri (Lakhimpur),derived_from_market_records,,,
Gangoh APMC,Uttar Pradesh,Saharanpur,derived_from_market_records,29.9679,77.54522,PPL
Fatehabad APMC,Uttar Pradesh,Agra,derived_from_market_records,27.18333,78.01667,PPLA2
Anwala APMC,Uttar Pradesh,Bareilly,derived_from_market_records,28.36678,79.43167,PPL
Chandigarh(Grain/Fruit) APMC,Chandigarh,Chandigarh,derived_from_market_records,30.73629,76.7884,PPLA
Karur(Uzhavar Sandhai ) APMC,Tamil Nadu,Karur,derived_from_market_records,10.95771,78.08095,PPL
Kurichi(Uzhavar Sandhai ) APMC,Tamil Nadu,Coimbatore,derived_from_market_records,11.00555,76.96612,PPL
Viruthachalam(Uzhavar Sandhai ) APMC,Tamil Nadu,Cuddalore,derived_from_market_records,11.75617,79.76693,PPL
Vadalur(Uzhavar Sandhai ) APMC,Tamil Nadu,Cuddalore,derived_from_market_records,11.75617,79.76693,PPL
Dharmapuri(Uzhavar Sandhai ) APMC,Tamil Nadu,Dharmapuri,derived_from_market_records,12.1277,78.15794,PPL
Pennagaram(Uzhavar Sandhai ) APMC,Tamil Nadu,Dharmapuri,derived_from_market_records,12.1277,78.15794,PPL
Palacode(Uzhavar Sandhai ) APMC,Tamil Nadu,Dharmapuri,derived_from_market_records,12.1277,78.15794,PPL
AJattihalli(Uzhavar Sandhai ) APMC,Tamil Nadu,Dharmapuri,derived_from_market_records,12.1277,78.15794,PPL
Perundurai(Uzhavar Sandhai ) APMC,Tamil Nadu,Erode,derived_from_market_records,11.3428,77.72741,PPL
Thalavadi(Uzhavar Sandhai ) APMC,Tamil Nadu,Erode,derived_from_market_records,11.3428,77.72741,PPL
Kundrathur(Uzhavar Sandhai ) APMC,Tamil Nadu,Kancheepuram,derived_from_market_records,,,
Kulithalai(Uzhavar Sandhai ) APMC,Tamil Nadu,Karur,derived_from_market_records,10.95771,78.08095,PPL
Velayuthampalayam(Uzhavar Sandhai ) APMC,Tamil Nadu,Karur,derived_from_market_records,10.95771,78.08095,PPL
Pallapatti (Uzhavar Sandhai ) APMC,Tamil Nadu,Karur,derived_from_market_records,10.95771,78.08095,PPL
Vengamedu(Uzhavar Sandhai ) APMC,Tamil Nadu,Karur,derived_from_market_records,10.95771,78.08095,PPL
Hosur(Uzhavar Sandhai ) APMC,Tamil Nadu,Krishnagiri,derived_from_market_records,12.51921,78.21382,PPL
Krishnagiri(Uzhavar Sandhai ) APMC,Tamil Nadu,Krishnagiri,derived_from_market_records,12.51921,78.21382,PPL
Denkanikottai(Uzhavar Sandhai ) APMC,Tamil Nadu,Krishnagiri,derived_from_market_records,12.51921,78.21382,PPL
